web_scraper_order,web_scraper_start_url,pagination,comment,date,data6,data7
"1773397937-1","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","ship về thì bị bể vậy, mình không có thời gian trả hàng nên cũng thôi. Mình đành không xài vứt luôn coi như lần này cũng như lần cuối vậy!!!! Chất son mình test ra thử thì ánh tím tím, mà xài không được vì vỏ vỡ rồi!!! BỰC MÌNH VÀ THẤT VỌNG","2026-03-13 16:17 | Phân loại hàng: 09 - Driftwood","Phân loại hàng: 09 - Driftwood","Son Pha Lê 3CE Misty Lip Bare"
"1773397937-2","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Gửi sai màu,  shop tloi chậm trễ, và k xử lý","2026-03-13 15:43 | Phân loại hàng: Taupe-Gạch đỏ","Phân loại hàng: Taupe-Gạch đỏ","Son kem lì nhung mịn 3CE Velvet Lip Tint"
"1773397937-3","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","chất son thì khô queo để tronh cốp mà lf son thỏi nên gãy son kêu đổi trả thì k dc","2026-03-13 15:42 | Phân loại hàng: MISTY DAY-Hồng tím","Phân loại hàng: MISTY DAY-Hồng tím","Son môi 3CE mịn lì nhẹ tênh 3CE Blur Matte Lipstick"
"1773397937-4","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Hàng không như quảng cáo lợi dụng lổ hổng trả hàng ép ng dùng","2026-03-13 15:09 | Phân loại hàng: Childlike-Cam cháy","Phân loại hàng: Childlike-Cam cháy","Son kem lì nhung mịn 3CE Velvet Lip Tint"
"1773397937-5","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","mình có đầy đủ bằng chứng từ lúc nhận hàng đến lúc đưa hàng cho shipper hợp không hề bị móp Đơn về chưa từng khui ra Nếu có vấn đề gì là do shop không phải do mình mong shop hoàn hàng trả tiền lại cho mình
mình bị shop lấy 632k đòi công bằng lại dùm t với
mình đặt hàng vì các kol nói đặt sẽ nhận hộp nhma khi t nhận về k có hộp gói hàng rất nhỏ nên t biết kco và trả hàng liền trong mai và đơn chưa từng khui vậy mà đến khi giao trả cho shop thì shop lại nói đơn bị móp k thể bán lại cho khách khác và k hoàn lại 632k của t","2026-03-13 12:36","","(GWP) 3CE Son Cashmere Mini & Voucher Tous Les Jours"
"1773397937-6","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","mình có đầy đủ bằng chứng từ lúc nhận hàng đến lúc đưa hàng cho shipper hợp không hề bị móp Đơn về chưa từng khui ra Nếu có vấn đề gì là do shop không phải do mình mong shop hoàn hàng trả tiền lại cho mình
mình bị shop lấy 632k đòi công bằng lại dùm t với
mình đặt hàng vì các kol nói đặt sẽ nhận hộp nhma khi t nhận về k có hộp gói hàng rất nhỏ nên t biết kco và trả hàng liền trong mai và đơn chưa từng khui vậy mà đến khi giao trả cho shop thì shop lại nói đơn bị móp k thể bán lại cho khách khác và k hoàn lại 632k của t","2026-03-13 12:36 | Phân loại hàng: 01 - Nude Whisper","Phân loại hàng: 01 - Nude Whisper","Son Pha Lê 3CE Misty Lip Bare"
"1773397937-7","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","mình có đầy đủ bằng chứng từ lúc nhận hàng đến lúc đưa hàng cho shipper hợp không hề bị móp Đơn về chưa từng khui ra Nếu có vấn đề gì là do shop không phải do mình mong shop hoàn hàng trả tiền lại cho mình
mình bị shop lấy 632k đòi công bằng lại dùm t với
mình đặt hàng vì các kol nói đặt sẽ nhận hộp nhma khi t nhận về k có hộp gói hàng rất nhỏ nên t biết kco và trả hàng liền trong mai và đơn chưa từng khui vậy mà đến khi giao trả cho shop thì shop lại nói đơn bị móp k thể bán lại cho khách khác và k hoàn lại 632k của t","2026-03-13 12:36 | Phân loại hàng: Glazy Lip Glow-#40, Faceblush-MapleToast","Phân loại hàng: Glazy Lip Glow-#40","3CE BST COLOR BAKER - SON GLAZY LIP GLOW, SON VELVET PLUSH, MÁ HỒNG FACE BLUSH, BẢNG MẮT MULTI EYE 9 COLORS PALETTE"
"1773397937-8","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","mình có đầy đủ bằng chứng từ lúc nhận hàng đến lúc đưa hàng cho shipper hợp không hề bị móp Đơn về chưa từng khui ra Nếu có vấn đề gì là do shop không phải do mình mong shop hoàn hàng trả tiền lại cho mình
mình bị shop lấy 632k đòi công bằng lại dùm t với
mình đặt hàng vì các kol nói đặt sẽ nhận hộp nhma khi t nhận về k có hộp gói hàng rất nhỏ nên t biết kco và trả hàng liền trong mai và đơn chưa từng khui vậy mà đến khi giao trả cho shop thì shop lại nói đơn bị móp k thể bán lại cho khách khác và k hoàn lại 632k của t","2026-03-13 12:35 | Phân loại hàng: VelvetPlush-Apricot","Phân loại hàng: VelvetPlush-Apricot","3CE BST COLOR BAKER - SON GLAZY LIP GLOW, SON VELVET PLUSH, MÁ HỒNG FACE BLUSH, BẢNG MẮT MULTI EYE 9 COLORS PALETTE"
"1773397937-9","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Bst này của 3CE xấu thực sự so với hồi nắp vàng, nó cứ hồng hồng tím tím sao ấy, mặc dù màu swatch toàn tông cam. Bạn nào hợp hồng tím nên mua, còn ko nên cân nhắc
Ảnh là mình dùng son speak up và definition, đều ra tông hồng tím, ảnh swatch thì là tông cam, khó hiểu??","2026-03-13 10:33 | Phân loại hàng: Definition-Đất nung","Phân loại hàng: Definition-Đất nung","Son kem lì nhung mịn 3CE Velvet Lip Tint"
"1773397937-10","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-03-12 23:00 | Phân loại hàng: Pure Cake-Hồng k","Phân loại hàng: Pure Cake-Hồng k","Phấn Má Hồng Mịn Lì 3CE Face Blush 5.5g"
"1773397937-11","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-03-12 20:11","","(GWP) 3CE Son Cashmere Mini & Voucher Tous Les Jours"
"1773397937-12","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","vỏ bị móp nặng, son mở ra không được, son bên trong bị gãy, bể. Mua cây son gần 300k mà hư không sử dụng được. Khiếu nại trả hàng thì phải đợi, quy trình rắc rối, phức tạp, và cũng không biết có được hoàn tiền lại hay không, phải chờ xem xét. Nói chung rất thất vọng. Đóng gói sơ xài không chống sốc. Hậu quả người mua phải chịu.","2026-03-12 20:11 | Phân loại hàng: BUDDY-Hồng cá hồi, OAT-Be yến mạch","Phân loại hàng: BUDDY-Hồng cá hồi","Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick"
"1773397937-13","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-03-12 15:43 | Phân loại hàng: TAUPE BEIGE-Nâu đất","Phân loại hàng: TAUPE BEIGE-Nâu đất","Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick"
"1773397937-14","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Ko soi dc bị móp méo luôn ấy chả hiểu sao","2026-03-12 15:41","","(GWP) 3CE Mini Square Metal Mirror Gương Vuông Kim Loại Mini 3CE | 3CE Official Store"
"1773397937-15","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Giao hàng đã khui, đặt hoả tốc trả tiền ship hoả tốc mà hôm sau mới giao","2026-03-12 11:27 | Phân loại hàng: Sepia-Đỏ táo trầm","Phân loại hàng: Sepia-Đỏ táo trầm","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g"
"1773397937-16","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Ko dưỡng ẩm tốt, đắt so với chất lượng, ko mua lại","2026-03-11 00:38 | Phân loại hàng: Glazy Lip Glow-#41","Phân loại hàng: Glazy Lip Glow-#41","3CE BST COLOR BAKER - SON GLAZY LIP GLOW, SON VELVET PLUSH, MÁ HỒNG FACE BLUSH, BẢNG MẮT MULTI EYE 9 COLORS PALETTE"
"1773397937-17","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-03-10 19:24 | Phân loại hàng: #23 Darkest Hour","Phân loại hàng: #23 Darkest Hour","Son Kem Lì Nhung Mịn 3CE Velvet Lip Tint Plush"
"1773397937-18","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Đồ Trung k phải hàn","2026-03-10 19:11","","(GWP) 3CE Velvet Plush Mini DA"
"1773397937-19","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Son sx tại Trung Quốc nhé, son trái là mua shop này, son bên phải mua lâu r của shop mall gửi từ Hàn về cơ. Khác nhau hoàn toàn. Designed tại Hàn @@ sx tại Trung là kiểu j chời. Ko tìm đc shop cũ giờ mua phải hàng này mà thôi k đổi trả vì bóc r nè","2026-03-10 19:11 | Phân loại hàng: Middy Hype","Phân loại hàng: Middy Hype","Phấn Má Hồng Bắt Sáng 3CE Blushlighter"
"1773397937-20","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Son sx tại Trung Quốc nhé, son trái là mua shop này, son bên phải mua lâu r của shop mall gửi từ Hàn về cơ. Khác nhau hoàn toàn. Designed tại Hàn @@ sx tại Trung là kiểu j chời. Ko tìm đc shop cũ giờ mua phải hàng này mà thôi k đổi trả vì bóc r nè","2026-03-10 19:11 | Phân loại hàng: Sepia-Đỏ táo trầm","Phân loại hàng: Sepia-Đỏ táo trầm","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g"
"1773397937-21","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Đặt màu camnude mà ở ngoài nó hồng thì thôi luôn. Lên tay hay môi đều bị như vậy và ngả tím sau 2h. Hồng sen nữa chứ.","2026-03-10 18:56 | Phân loại hàng: Dear March-Cam nude","Phân loại hàng: Dear March-Cam nude","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g"
"1773397937-22","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-03-10 18:13","","(GWP) 3CE Móc Khóa BST Color Baker & Voucher Tous Les Jours"
"1773397937-23","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-03-10 14:13 | Phân loại hàng: Play Off-Đỏ cam","Phân loại hàng: Play Off-Đỏ cam","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g"
"1773397937-24","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Mãi iu nhé. Dùng lá dính luôn haha. Nsjjssjsjsj","2026-03-10 12:57 | Phân loại hàng: Delectable-Hồng","Phân loại hàng: Delectable-Hồng","Phấn Má Hồng Mịn Lì 3CE Face Blush 5g"
"1773397937-25","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","mình có đầy đủ bằng chứng từ lúc nhận hàng đến lúc đưa hàng cho shipper hợp không hề bị móp Đơn về chưa từng khui ra Nếu có vấn đề gì là do shop không phải do mình mong shop hoàn hàng trả tiền lại cho mình","2026-03-13 12:28","","(GWP) 3CE Son Cashmere Mini & Voucher Tous Les Jours"
"1773397937-26","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Hình ảnh chỉ mang lại tính chất minh họa em mua những sản phẩm trên hình trên thì liên hệ em nhé liên hệ qua TikTok: tl.24.04 ạ 
Đánh giá chỉ mang lại tính chất nhận su em mua những sản phẩm trên hình liên hệ em : tl.24.04 tiktok","2026-03-12 19:00","","(GWP) 3CE Túi Đựng Mỹ Phẩm"
"1773397937-27","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Hình ảnh chỉ mang lại tính chất minh họa em mua những sản phẩm trên hình trên thì liên hệ em nhé liên hệ qua TikTok: tl.24.04 ạ 
Đánh giá chỉ mang lại tính chất nhận su em mua những sản phẩm trên hình liên hệ em : tl.24.04 tiktok","2026-03-12 19:00 | Phân loại hàng: VelvetPlush-Apricot, Glazy Lip Glow-#40, Faceblush-MapleToast","Phân loại hàng: VelvetPlush-Apricot","3CE BST COLOR BAKER - SON GLAZY LIP GLOW, SON VELVET PLUSH, MÁ HỒNG FACE BLUSH, BẢNG MẮT MULTI EYE 9 COLORS PALETTE"
"1773397937-28","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","mình có đầy đủ bằng chứng từ lúc nhận hàng đến lúc đưa hàng cho shipper hợp không hề bị móp Đơn về chưa từng khui ra Nếu có vấn đề gì là do shop không phải do mình mong shop hoàn hàng trả tiền lại cho mình","2026-03-13 12:27 | Phân loại hàng: Overtake","Phân loại hàng: Overtake","Bảng Phấn Mắt 9 màu lâu trôi 3CE Multi Eye Color Palette"
"1773397937-29","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","mình có đầy đủ bằng chứng từ lúc nhận hàng đến lúc đưa hàng cho shipper hợp không hề bị móp Đơn về chưa từng khui ra Nếu có vấn đề gì là do shop không phải do mình mong shop hoàn hàng trả tiền lại cho mình","2026-03-13 12:28","","(GWP) 3CE Túi Đựng Mỹ Phẩm"
"1773397937-30","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","mình có đầy đủ bằng chứng từ lúc nhận hàng đến lúc đưa hàng cho shipper hợp không hề bị móp Đơn về chưa từng khui ra Nếu có vấn đề gì là do shop không phải do mình mong shop hoàn hàng trả tiền lại cho mình","2026-03-13 12:30 | Phân loại hàng: VelvetPlush-Apricot, Glazy Lip Glow-#41, Glazy Lip Glow-#40","Phân loại hàng: VelvetPlush-Apricot","3CE BST COLOR BAKER - SON GLAZY LIP GLOW, SON VELVET PLUSH, MÁ HỒNG FACE BLUSH, BẢNG MẮT MULTI EYE 9 COLORS PALETTE"
"1773397937-31","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","mình có đầy đủ bằng chứng từ lúc nhận hàng đến lúc đưa hàng cho shipper hợp không hề bị móp Đơn về chưa từng khui ra Nếu có vấn đề gì là do shop không phải do mình mong shop hoàn hàng trả tiền lại cho mình","2026-03-13 12:29 | Phân loại hàng: Nude Peach-Be nu","Phân loại hàng: Nude Peach-Be nu","Phấn Má Hồng Mịn Lì 3CE Face Blush 5.5g"
"1773397937-32","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-03-10 10:36 | Phân loại hàng: ROSINESS-Hồng khô","Phân loại hàng: ROSINESS-Hồng khô","Son môi 3CE mịn lì nhẹ tênh 3CE Blur Matte Lipstick"
"1773397937-33","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Thật sự cái phấn nước này của 3ce thật sự xấu. Màu rất xấu và khó dùng luôn. Chọn tông sáng P02(hãng nói đây là tông sáng rồi đó) mà vẫn rất tối. Màu có bị tối mà Hồng hồng vàng vàng sao á nói chung kén da nhé. Mọi người muốn mua màu này của hãng này nên cân nhắc. Mua trong live của Hanaolala quảng cáo là dòng phấn nước đẹp lắm mà nhận hàng thất vọng. Giá  sản phẩm không phải rẻ mà chất lượng kém. Không hề như quảng cáo. Da ai có khuyết điểm thì không dùng hợp đâu. Đánh giá chân thật đấy","2026-03-09 23:32 | Phân loại hàng: (Lõi Refill)-P02","Phân loại hàng: (Lõi Refill)-P02","Phấn Nước Trang Điểm 3CE Fitting Mesh Cushion"
"1773397937-34","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","mình có đầy đủ bằng chứng từ lúc nhận hàng đến lúc đưa hàng cho shipper hợp không hề bị móp Đơn về chưa từng khui ra Nếu có vấn đề gì là do shop không phải do mình mong shop hoàn hàng trả tiền lại cho mình
mình bị shop lấy 632k đòi công bằng lại dùm t với","2026-03-13 12:31","","(GWP) 3CE Son Cashmere Mini & Voucher Tous Les Jours"
"1773397937-35","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","mình có đầy đủ bằng chứng từ lúc nhận hàng đến lúc đưa hàng cho shipper hợp không hề bị móp Đơn về chưa từng khui ra Nếu có vấn đề gì là do shop không phải do mình mong shop hoàn hàng trả tiền lại cho mình
mình bị shop lấy 632k đòi công bằng lại dùm t với","2026-03-13 12:31 | Phân loại hàng: VelvetPlush-Apricot, Glazy Lip Glow-#41, Glazy Lip Glow-#40, ...","Phân loại hàng: VelvetPlush-Apricot","3CE BST COLOR BAKER - SON GLAZY LIP GLOW, SON VELVET PLUSH, MÁ HỒNG FACE BLUSH, BẢNG MẮT MULTI EYE 9 COLORS PALETTE"
"1773397937-36","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Hàng dởm ko phải hàng chính hãng","2026-03-10 20:07 | Phân loại hàng: Play Off-Đỏ cam","Phân loại hàng: Play Off-Đỏ cam","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g"
"1773397937-37","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-03-09 19:08 | Phân loại hàng: (Lõi Refill)-N01, (Lõi Refill)-P01","Phân loại hàng: (Lõi Refill)-N01","Phấn Nước Trang Điểm 3CE Fitting Mesh Cushion"
"1773397937-38","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-03-09 18:10 | Phân loại hàng: Faceblush-MapleToast","Phân loại hàng: Faceblush-MapleToast","3CE BST COLOR BAKER - SON GLAZY LIP GLOW, SON VELVET PLUSH, MÁ HỒNG FACE BLUSH, BẢNG MẮT MULTI EYE 9 COLORS PALETTE"
"1773397937-39","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Từ chất son tới màu đều rất tệ. Son đằng son, môi đằng môi.","2026-03-09 14:05 | Phân loại hàng: PURE BLEND-Hồng da","Phân loại hàng: PURE BLEND-Hồng da","Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick"
"1773397937-40","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Đánh giá 1s vì maketing xem thường phụ nữ","2026-03-09 13:30 | Phân loại hàng: VelvetPlush-Apricot","Phân loại hàng: VelvetPlush-Apricot","3CE BST COLOR BAKER - SON GLAZY LIP GLOW, SON VELVET PLUSH, MÁ HỒNG FACE BLUSH, BẢNG MẮT MULTI EYE 9 COLORS PALETTE"
"1773397937-41","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Đánh giá 1s vì maketing xem thường phụ nữ","2026-03-09 13:30","","(GWP) 3CE Gương & Voucher Tous Les Jours"
"1773397937-42","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Mình không đánh giá chất lượng, mình đánh giá đạo đức làm nghề của team truyền thông 3CE Việt Nam!","2026-03-09 12:13 | Phân loại hàng: Glazy Lip Glow-#40, Faceblush-MapleToast","Phân loại hàng: Glazy Lip Glow-#40","3CE BST COLOR BAKER - SON GLAZY LIP GLOW, SON VELVET PLUSH, MÁ HỒNG FACE BLUSH, BẢNG MẮT MULTI EYE 9 COLORS PALETTE"
"1773397937-43","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Mình không đánh giá chất lượng, mình đánh giá đạo đức làm nghề của team truyền thông 3CE Việt Nam!","2026-03-09 12:13","","(GWP) 3CE Gương & Voucher Tous Les Jours"
"1773397937-44","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-03-09 10:34","","(GWP) Túi Mini Đựng Son 3CE Lipstick Holder"
"1773397937-45","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Son không lên màu, đánh son xong như chưa đánh","2026-03-09 08:16 | Phân loại hàng: Play Off-Đỏ cam","Phân loại hàng: Play Off-Đỏ cam","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g"
"1773397937-46","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-03-09 00:41 | Phân loại hàng: 04 - Pink Scheme","Phân loại hàng: 04 - Pink Scheme","Son Pha Lê 3CE Misty Lip Bare"
"1773397937-47","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Trên ảnh hãng có ghi màu này hợp làm “Topper” tức là phủ lên trên cho hiệu ứng trong lại thui nhưng mô tả thì k ghi 😏
Vì làm topper nên màu rất sheer, chủ yếu đóng vai trò gloss bóng môi chứ k tạo cảm giác nude như hình
Có 1.7g tức là ít quá ít, chất son này dùng lại hao, mua sale còn 2xx mà vẫn thấy đắt quá so với chất lượng cũng như khối lượng
Chắc là chê nhất trong các sp từng dùng của 3CE, quá là k đáng số tiền bỏ ra","2026-03-08 21:20 | Phân loại hàng: OPAL SHOWER-Hồng","Phân loại hàng: OPAL SHOWER-Hồng","Son bóng dưỡng môi bắt sáng 3CE Shine Reflector (Son vặn 1 chiều)"
"1773397937-48","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Hơn 1 tháng không thấy shop gửi hàng trả lại cho mình","2026-03-08 20:02 | Phân loại hàng: TYPEGIRL-Hồng lựu","Phân loại hàng: TYPEGIRL-Hồng lựu","Son kem bùn mịn lì 3CE Hazy Lip Clay"
"1773397937-49","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Xấu, sp k như mô tả, hoàn tiền lỉnh kỉnh, 1 sao đã ủng hộ nhiều mà lần này thất vọng 🙂","2026-03-08 19:17 | Phân loại hàng: #38 SALTY SWEET","Phân loại hàng: #38 SALTY SWEET","Son bóng dưỡng môi 3CE GLAZY LIP GLOW"
"1773397937-50","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","mình có đầy đủ bằng chứng từ lúc nhận hàng đến lúc đưa hàng cho shipper hợp không hề bị móp Đơn về chưa từng khui ra Nếu có vấn đề gì là do shop không phải do mình mong shop hoàn hàng trả tiền lại cho mình
mình bị shop lấy 632k đòi công bằng lại dùm t với","2026-03-13 12:33 | Phân loại hàng: Glazy Lip Glow-#40, Faceblush-MapleToast","Phân loại hàng: Glazy Lip Glow-#40","3CE BST COLOR BAKER - SON GLAZY LIP GLOW, SON VELVET PLUSH, MÁ HỒNG FACE BLUSH, BẢNG MẮT MULTI EYE 9 COLORS PALETTE"
"1773397937-51","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","It is so small. That it almost feels like there isn’t really a gift included.","2026-03-08 15:20","","(GWP) 3CE Túi Đựng Mỹ Phẩm"
"1773397937-52","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Shop bán hàng quá tệ, mua thử 1 cây son mà cũng soạn sai màu,thật khó chấp nhận, thấy bán hàng nhiều tưởng chuyên nghiệp. Đã không có nhiều thời gian mới mua hàng online mà còn nhận sai hàng.","2026-03-08 10:26 | Phân loại hàng: PURE LAYER-Hồng cam","Phân loại hàng: PURE LAYER-Hồng cam","Son môi 3CE mịn lì nhẹ tênh 3CE Blur Matte Lipstick"
"1773397937-53","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","1sao vì làm content xúc phạm phụ nữ","2026-03-08 09:58 | Phân loại hàng: ROSINESS-Hồng khô","Phân loại hàng: ROSINESS-Hồng khô","Son môi 3CE mịn lì nhẹ tênh 3CE Blur Matte Lipstick"
"1773397937-54","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Cushion bị khô, ko mướt, không che đc khuyết điểm, không kiềm dầu. Không biết có lợi gì về cái cushion này với giá 445k. Shop còn lên content nhục mạ phụ nữ, thật ko xứng đáng là 1 hãng nổi tiếng ở VN","2026-03-10 11:39 | Phân loại hàng: Trung Tính - N1.5","Phân loại hàng: Trung Tính - N1.5","Phấn Nước Trang Điểm 3CE Fitting Mesh Cushion"
"1773397937-55","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Trải nghiệm k mấy vui","2026-03-08 08:32","","(GWP) 3CE Túi Đựng Mỹ Phẩm"
"1773397937-56","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Tg chất son mềm mịn. Ai có dè n vừa bóng mà lại khô. Ám ảnh luôn trời.","2026-03-08 08:32 | Phân loại hàng: Sepia-Đỏ táo trầm","Phân loại hàng: Sepia-Đỏ táo trầm","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g"
"1773397937-57","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-03-08 00:12 | Phân loại hàng: Mono Pink-Hồng k, Nude Peach-Be nu","Phân loại hàng: Mono Pink-Hồng k","Phấn Má Hồng Mịn Lì 3CE Face Blush 5g"
"1773397937-58","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Son dùng thù cũng được, nhưng vẫn rate 1* vì quả campaign cổ xuý bạo lực phụ nữ","2026-03-07 22:24 | Phân loại hàng: #07 Dusky Pink","Phân loại hàng: #07 Dusky Pink","Son Kem Lì Nhung Mịn 3CE Velvet Lip Tint Plush"
"1773397937-59","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-03-07 21:11","","(GWP) 3CE Son Cashmere Mini & Voucher Tous Les Jours"
"1773397937-60","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Nhận hàng khui seal ra thì thấy sản phẩm bị quẹt một đường cọ trên mặt phấn m đơ luôn xịt keo luôn
Máy t dỏm không chụp cận nét được chứ ở ngoài nhìn là rõ bị quẹt cọ thử màu xong dán seal vào thật là ối dồi ôi. Máy t mà xịn là chụp cho ce nhìn rõ hơn được rồi không ngờ nhận được đơn hàng đểu z chắc do t xui ui","2026-03-07 21:11 | Phân loại hàng: Faceblush-MapleToast","Phân loại hàng: Faceblush-MapleToast","3CE BST COLOR BAKER - SON GLAZY LIP GLOW, SON VELVET PLUSH, MÁ HỒNG FACE BLUSH, BẢNG MẮT MULTI EYE 9 COLORS PALETTE"
"1773397937-61","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Son đánh lên môi k ăn môi xíu nào.. Lại còn bị bở nữa.. Nhanh trôi.. Ncl chán","2026-03-07 20:37 | Phân loại hàng: YOUR SIDE-Hồng đất","Phân loại hàng: YOUR SIDE-Hồng đất","Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick"
"1773397937-62","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Mk chỉ có 1 thắc mắc mk mua qua live c hanna nên mk rất tin tg nhưng khi nhận hàng mk lại thấy chữ made in china mà trong khi 3ac là của hàn quốc mk rất hỏi chấm về nguồn gốc sp","2026-03-07 19:28 | Phân loại hàng: Slick","Phân loại hàng: Slick","Phấn Má Hồng Bắt Sáng 3CE Blushlighter"
"1773397937-63","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Có gửi quà tặng đâu. Bịp","2026-03-07 17:42","","(GWP) 3CE Velvet Plush Mini SU"
"1773397937-64","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-03-07 16:24 | Phân loại hàng: Mono Pink-Hồng k","Phân loại hàng: Mono Pink-Hồng k","Phấn Má Hồng Mịn Lì 3CE Face Blush 5.5g"
"1773397937-65","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-03-07 14:19 | Phân loại hàng: #35 PINK TUBE","Phân loại hàng: #35 PINK TUBE","Son bóng dưỡng môi 3CE GLAZY LIP GLOW"
"1773397937-66","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2026-03-07 12:20","","(GWP) 3CE Velvet Plush Mini DA"
"1773397937-67","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Vừa mua má hồng xong thì thấy quảng cáo blgd của 3CE. Bị cái gì vậy trời?? Từ một người đã trải qua blgd, tôi cảm thấy không vui chút nào. Thân chưa mà giỡn kiểu đó brand ơi","2026-03-07 12:20 | Phân loại hàng: Lazy Talk","Phân loại hàng: Lazy Talk","Phấn Má Hồng Bắt Sáng 3CE Blushlighter"
