web_scraper_order,web_scraper_start_url,pagination,comment,date,data6,data7
"1773397937-835","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Tuỳ theo sở thích của mn thôi riêng mình thấy k bám trên da lắm mau trôi , da nhờn xài vài tiếng đổ nhờn chảy nêfn","2025-12-03 18:54 | Phân loại hàng: (Lõi Refill)-N01","Phân loại hàng: (Lõi Refill)-N01","Phấn Nước Trang Điểm 3CE Fitting Mesh Cover Cushion"
"1773397937-836","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Đánh dc 1 lần , chất son khô, tự gãy ,nghi hàng fake","2025-12-03 16:02 | Phân loại hàng: 13-Silent Bloom","Phân loại hàng: 13-Silent Bloom","Son Sáp Màu Mịn Lì 3CE Sketch Stick"
"1773397937-837","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Son đã bị mở , bóc ra không còn tem niêm phong","2025-12-03 14:35 | Phân loại hàng: Daffodil-Đậu đỏ","Phân loại hàng: Daffodil-Đậu đỏ","Son kem lì nhung mịn 3CE Velvet Lip Tint"
"1773397937-838","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2025-12-03 11:54 | Phân loại hàng: Sepia-Đỏ táo trầm","Phân loại hàng: Sepia-Đỏ táo trầm","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint"
"1773397937-839","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Mình chưa bao giờ đánh giá hàng mall nhưng lần này 3CE làm mình quá thất vọng. 
Mua hàng trên live của Xuân Nhi từ ngày 2/11 là những ngày đầu mở bán, nhận hàng ngày 4/11. Mình là người trúng giveaway trên live và hãng nói sẽ nhận quà từ 15-30 ngày sau khi nhận hàng thành công. Đến nay 3/12 nhắn hỏi mới báo 15/12 sẽ gửi quà đi???
Vấn đề về sản phẩm, lỗi mình quá tin tưởng hãng nên ko quay video. Son mình nhận từ lúc khui đã gãy dù mình còn chưa làm gì. 
Hãng nên xem lại cách xử lý đi ạ. Mình ko cần quà tặng gì nữa đâu.","2025-12-03 09:00 | Phân loại hàng: 05-High Standard","Phân loại hàng: 05-High Standard","Son Sáp Màu Mịn Lì 3CE Sketch Stick"
"1773397937-840","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Chưa có dịp thử nền không biết sao nữa, nhưng gói không kĩ với giá gần 500 vậy không xứng","2025-12-03 08:54 | Phân loại hàng: Trung Tính - N01","Phân loại hàng: Trung Tính - N01","Phấn Nước Trang Điểm 3CE Fitting Mesh Cover Cushion"
"1773397937-841","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Son xài được 2 lần gãy. Chẳng làm rớt cũng không vặn dài.","2025-12-03 08:36 | Phân loại hàng: 13-Silent Bloom","Phân loại hàng: 13-Silent Bloom","Son Sáp Màu Mịn Lì 3CE Sketch Stick"
"1773397937-842","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","màu xấu quắc. vón cục. khô môi. seeding quá lố. sp tệ","2025-12-03 08:16 | Phân loại hàng: TEXT ME-Hồng mận","Phân loại hàng: TEXT ME-Hồng mận","Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick"
"1773397937-843","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Lên môi không hợp, 

vừa sd vặn ngắn vừa th cũng bị gãy rụng cái lõi, 

trc đó cũng coi review nghe dặn r, vỏ tặng cũng dỏm lắm, đòi trả xog cái shopee làm mất hàng h mất son cả tiền luôn, rớt nc mắt:.>","2025-12-03 02:29 | Phân loại hàng: 13-Silent Bloom","Phân loại hàng: 13-Silent Bloom","Son Sáp Màu Mịn Lì 3CE Sketch Stick"
"1773397937-844","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2025-12-02 23:29 | Phân loại hàng: HUSH RED-Đỏ mâm xôi","Phân loại hàng: HUSH RED-Đỏ mâm xôi","Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick"
"1773397937-845","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Màu son đẹp nhưng nắp vặn bị hư ko vặn son lại được","2025-12-02 19:24 | Phân loại hàng: COLDEST-Đỏ mận","Phân loại hàng: COLDEST-Đỏ mận","Son bóng dưỡng môi bắt sáng 3CE Shine Reflector (Son vặn 1 chiều)"
